UNO_515122C0;2015/02/11 13:50:47;0;sampleID;MQ2;DHT22 Temp(C);DHT22 HR;MQ9;HCHO;Lowpulse;ratio;Concentration
UNO_515122C0;2015/02/11 14:31:43;79;79;0.11;23.90;29.20;0.10;1.39;24198;0.08;41.12
UNO_515122C0;2015/02/11 14:32:14;80;80;0.11;23.90;29.20;0.11;1.92;111378;0.37;192.88
UNO_515122C0;2015/02/11 14:32:45;81;81;0.11;23.90;29.20;0.10;2.10;0;0.00;0.62
UNO_515122C0;2015/02/11 14:33:16;82;82;0.11;23.90;29.10;0.10;1.65;15569;0.05;27.47
UNO_515122C0;2015/02/11 14:33:47;83;83;0.11;24.00;29.10;0.10;2.09;854252;2.78;1437.95
UNO_515122C0;2015/02/11 14:34:18;84;84;0.12;24.00;29.00;0.10;1.31;287092;0.96;495.29
UNO_515122C0;2015/02/11 14:34:49;85;85;0.13;24.00;29.80;0.10;1.30;1140400;3.66;1909.40
UNO_515122C0;2015/02/11 14:35:20;86;86;0.12;24.00;30.40;0.11;2.05;1834610;6.03;3240.49
UNO_515122C0;2015/02/11 14:35:52;87;87;0.12;24.00;29.60;0.10;1.92;5647;0.02;10.16
UNO_515122C0;2015/02/11 14:36:23;88;88;0.11;24.30;30.20;0.10;2.20;410358;1.33;689.96
UNO_515122C0;2015/02/11 14:36:54;89;89;0.11;24.60;29.50;0.11;2.42;79879;0.26;136.54
UNO_515122C0;2015/02/11 14:37:25;90;90;0.11;24.90;29.20;0.10;1.59;122255;0.40;208.83
UNO_515122C0;2015/02/11 14:37:56;91;91;0.12;25.00;28.60;0.12;1.66;383273;1.25;649.25
UNO_515122C0;2015/02/11 14:38:28;92;92;0.11;25.00;28.70;0.11;1.53;240370;0.77;400.10
UNO_515122C0;2015/02/11 14:38:59;93;93;0.11;24.90;28.30;0.12;1.65;145645;0.47;245.19
UNO_515122C0;2015/02/11 14:39:30;94;94;0.11;24.80;27.90;0.10;1.80;207553;0.68;354.08
UNO_515122C0;2015/02/11 14:40:01;95;95;0.11;24.80;27.90;0.10;2.03;1441493;4.75;2500.78
UNO_515122C0;2015/02/11 14:40:32;96;96;0.11;24.70;27.80;0.10;2.35;589738;1.93;996.00
UNO_515122C0;2015/02/11 14:41:04;97;97;0.11;24.60;28.10;0.10;1.48;170096;0.55;285.57
UNO_515122C0;2015/02/11 14:41:34;98;98;0.11;24.70;28.40;0.10;1.72;258280;0.85;443.06
UNO_515122C0;2015/02/11 14:42:06;99;99;0.11;24.60;27.80;0.10;2.20;151271;0.49;253.59
UNO_515122C0;2015/02/11 14:42:37;100;100;0.11;24.60;27.80;0.11;1.46;287956;0.94;487.25
UNO_515122C0;2015/02/11 14:43:08;101;101;0.11;24.60;27.90;0.10;2.26;250595;0.82;426.16
UNO_515122C0;2015/02/11 14:43:39;102;102;0.11;24.60;27.90;0.10;1.49;152656;0.50;258.17
UNO_515122C0;2015/02/11 14:44:11;103;103;0.11;24.60;28.20;0.10;2.22;104423;0.34;175.19
UNO_515122C0;2015/02/11 14:44:43;104;104;0.11;24.70;28.10;0.10;2.33;89183;0.29;149.10
UNO_515122C0;2015/02/11 14:45:14;105;105;0.11;24.70;28.00;0.11;2.32;44014;0.14;74.73
UNO_515122C0;2015/02/11 14:45:45;106;106;0.11;24.80;28.10;0.10;2.27;1660093;5.42;2882.13
UNO_515122C0;2015/02/11 14:46:16;107;107;0.11;24.80;28.10;0.11;1.44;38895;0.13;66.54
UNO_515122C0;2015/02/11 14:46:47;108;108;0.11;24.80;28.30;0.11;2.20;274802;0.90;467.94
UNO_515122C0;2015/02/11 14:47:18;109;109;0.11;24.80;27.90;0.10;2.32;302789;1.00;515.34
UNO_515122C0;2015/02/11 14:47:50;110;110;0.11;24.80;28.30;0.11;1.42;163423;0.53;273.88
UNO_515122C0;2015/02/11 14:48:21;111;111;0.11;24.70;27.90;0.10;2.18;432427;1.40;725.73
UNO_515122C0;2015/02/11 14:48:52;112;112;0.11;24.70;28.00;0.11;2.09;6906;0.02;12.40
UNO_515122C0;2015/02/11 14:49:23;113;113;0.11;24.70;28.30;0.10;2.25;496717;1.63;843.90
UNO_515122C0;2015/02/11 14:49:54;114;114;0.12;24.80;28.10;0.11;2.06;245599;0.81;420.21
UNO_515122C0;2015/02/11 14:50:25;115;115;0.12;24.80;29.60;0.10;1.69;565737;1.87;965.24
UNO_515122C0;2015/02/11 14:50:57;116;116;0.12;24.80;28.50;0.11;2.29;949909;3.05;1580.91
UNO_515122C0;2015/02/11 14:51:28;117;117;0.11;24.80;28.10;0.11;1.36;493124;1.63;841.06
UNO_515122C0;2015/02/11 14:51:59;118;118;0.11;24.70;27.90;0.12;1.81;303387;0.99;514.47
UNO_515122C0;2015/02/11 14:52:30;119;119;0.11;24.70;28.30;0.11;1.84;0;0.00;0.62
UNO_515122C0;2015/02/11 14:53:02;120;120;0.12;24.70;28.10;0.12;2.16;0;0.00;0.62
UNO_515122C0;2015/02/11 14:53:33;121;121;0.11;24.70;28.30;0.10;2.23;165998;0.55;283.75
UNO_515122C0;2015/02/11 14:54:04;122;122;0.11;24.70;28.10;0.11;1.35;321535;1.06;547.93
UNO_515122C0;2015/02/11 14:54:35;123;123;0.11;24.70;28.00;0.11;1.96;236644;0.77;397.75
UNO_515122C0;2015/02/11 14:55:06;124;124;0.11;24.70;28.10;0.10;1.98;304490;0.99;512.87
UNO_515122C0;2015/02/11 14:55:38;125;125;0.11;24.70;28.30;0.09;2.23;322572;1.05;544.80
UNO_515122C0;2015/02/11 14:56:09;126;126;0.11;24.60;27.90;0.10;1.45;0;0.00;0.62
UNO_515122C0;2015/02/11 14:56:40;127;127;0.11;24.60;27.80;0.10;1.55;403552;1.34;692.55
UNO_515122C0;2015/02/11 14:57:11;128;128;0.12;24.60;28.10;0.10;1.43;173575;0.57;296.22
UNO_515122C0;2015/02/11 14:57:41;129;129;0.11;24.80;28.50;0.10;2.31;10685;0.04;19.11
UNO_515122C0;2015/02/11 14:58:12;130;130;0.11;24.90;28.50;0.11;2.31;23910;0.08;41.29
UNO_515122C0;2015/02/11 14:58:43;131;131;0.12;25.20;28.30;0.12;1.49;82477;0.27;141.84
UNO_515122C0;2015/02/11 14:59:14;132;132;0.11;25.30;28.10;0.11;1.81;62916;0.21;107.38
UNO_515122C0;2015/02/11 14:59:46;133;133;0.11;25.30;27.40;0.11;1.60;0;0.00;0.62
UNO_515122C0;2015/02/11 15:00:17;134;134;0.11;25.30;27.40;0.11;1.45;14550;0.05;25.27
UNO_515122C0;2015/02/11 15:00:48;135;135;0.11;25.20;27.30;0.11;2.35;37046;0.12;63.68
UNO_515122C0;2015/02/11 15:01:20;136;136;0.11;25.20;27.40;0.10;1.66;140071;0.46;236.91
UNO_515122C0;2015/02/11 15:01:51;137;137;0.11;25.10;27.40;0.10;2.31;0;0.00;0.62
UNO_515122C0;2015/02/11 15:02:22;138;138;0.11;25.10;27.60;0.10;1.57;63989;0.21;109.02
UNO_515122C0;2015/02/11 15:02:54;139;139;0.11;25.10;27.60;0.10;1.45;5854;0.02;10.55
UNO_515122C0;2015/02/11 15:03:25;140;140;0.12;25.00;27.60;0.10;1.51;62000;0.20;104.71
UNO_515122C0;2015/02/11 15:03:56;141;141;0.12;25.10;27.80;0.10;1.41;143045;0.47;244.34
UNO_515122C0;2015/02/11 15:04:27;142;142;0.12;25.00;27.60;0.10;1.40;186951;0.62;319.43
UNO_515122C0;2015/02/11 15:04:59;143;143;0.11;25.00;27.80;0.10;2.27;0;0.00;0.62
UNO_515122C0;2015/02/11 15:05:30;144;144;0.11;25.00;27.90;0.10;1.84;8338;0.03;14.86
UNO_515122C0;2015/02/11 15:06:01;145;145;0.11;25.00;27.60;0.10;1.40;0;0.00;0.62
UNO_515122C0;2015/02/11 15:06:32;146;146;0.11;25.00;27.70;0.10;1.45;162323;0.53;275.21
UNO_515122C0;2015/02/11 15:07:04;147;147;0.11;25.00;27.60;0.11;1.51;14324;0.05;24.55
UNO_515122C0;2015/02/11 15:07:36;148;148;0.11;24.90;27.60;0.11;2.30;151072;0.49;252.12
UNO_515122C0;2015/02/11 15:08:07;149;149;0.12;24.90;27.80;0.10;2.06;7914;0.03;14.05
UNO_515122C0;2015/02/11 15:08:38;150;150;0.11;24.90;28.00;0.11;1.38;177130;0.58;300.36
UNO_515122C0;2015/02/11 15:09:10;151;151;0.11;24.90;28.00;0.10;2.28;559607;1.80;929.39
UNO_515122C0;2015/02/11 15:09:41;152;152;0.11;25.00;28.40;0.11;1.80;834287;2.74;1418.08
UNO_515122C0;2015/02/11 15:10:12;153;153;0.11;25.00;28.00;0.10;1.47;528299;1.73;894.03
UNO_515122C0;2015/02/11 15:10:43;154;154;0.11;25.00;28.10;0.12;2.00;154390;0.51;263.67
UNO_515122C0;2015/02/11 15:21:32;155;155;0.12;25.00;28.10;0.10;1.38;295235;0.98;507.72
UNO_515122C0;2015/02/11 15:22:03;156;156;0.12;25.00;28.30;0.12;2.25;733728;2.44;1261.04
UNO_515122C0;2015/02/11 15:22:34;157;157;0.12;25.00;28.00;0.10;2.30;15269;0.05;26.75
UNO_515122C0;2015/02/11 15:23:05;158;158;0.12;25.00;27.80;0.12;2.17;338012;1.10;571.25
UNO_515122C0;2015/02/11 15:23:36;159;159;0.12;24.90;27.80;0.11;1.65;59022;0.20;102.26
UNO_515122C0;2015/02/11 15:24:07;160;160;0.11;24.90;27.80;0.10;1.70;293995;0.95;489.97
UNO_515122C0;2015/02/11 15:24:38;161;161;0.12;24.80;27.80;0.11;2.12;25739;0.09;44.82
UNO_515122C0;2015/02/11 15:25:10;162;162;0.11;24.80;28.20;0.11;2.23;9888;0.03;17.13
UNO_515122C0;2015/02/11 15:25:41;163;163;0.11;24.80;28.00;0.11;2.20;163012;0.53;274.38
UNO_515122C0;2015/02/11 15:26:12;164;164;0.12;24.80;28.30;0.10;1.37;218635;0.72;372.65
UNO_515122C0;2015/02/11 15:26:44;165;165;0.12;24.70;28.30;0.11;1.37;0;0.00;0.62
UNO_515122C0;2015/02/11 15:27:15;166;166;0.11;24.70;28.30;0.12;1.56;1177632;3.78;1972.66
UNO_515122C0;2015/02/11 15:27:47;167;167;0.12;24.70;28.10;0.12;2.14;279036;0.91;470.00
UNO_515122C0;2015/02/11 15:28:18;168;168;0.12;24.80;28.30;0.11;2.19;375616;1.23;638.49
UNO_515122C0;2015/02/11 15:28:49;169;169;0.12;25.00;28.20;0.10;1.97;818786;2.67;1384.01
UNO_515122C0;2015/02/11 15:29:19;170;170;0.12;25.10;27.80;0.10;1.97;528523;1.75;904.26
UNO_515122C0;2015/02/11 15:29:51;171;171;0.12;25.10;27.70;0.11;2.02;0;0.00;0.62
UNO_515122C0;2015/02/11 15:30:23;172;172;0.12;25.10;27.60;0.11;1.56;0;0.00;0.62
UNO_515122C0;2015/02/11 15:30:54;173;173;0.12;25.10;27.50;0.11;1.32;0;0.00;0.62
UNO_515122C0;2015/02/11 15:31:25;174;174;0.12;25.00;27.40;0.12;1.28;28511;0.09;49.53
UNO_515122C0;2015/02/11 15:31:57;175;175;0.12;25.00;27.50;0.11;1.97;0;0.00;0.62
UNO_515122C0;2015/02/11 15:32:28;176;176;0.12;25.00;27.50;0.11;1.88;17725;0.06;30.28
UNO_515122C0;2015/02/11 15:33:00;177;177;0.12;25.00;27.60;0.11;1.30;0;0.00;0.62
UNO_515122C0;2015/02/11 15:33:31;178;178;0.12;25.00;27.60;0.10;1.54;0;0.00;0.62
UNO_515122C0;2015/02/11 15:34:03;179;179;0.12;25.00;27.60;0.11;1.26;0;0.00;0.62
UNO_515122C0;2015/02/11 15:34:35;180;180;0.12;24.90;27.60;0.10;1.85;4236;0.01;7.74
UNO_515122C0;2015/02/11 15:35:06;181;181;0.12;24.90;27.60;0.11;1.56;0;0.00;0.62
UNO_515122C0;2015/02/11 15:35:37;182;182;0.12;24.80;27.50;0.10;1.91;160281;0.52;270.32
UNO_515122C0;2015/02/11 15:36:09;183;183;0.12;24.80;27.60;0.10;1.23;0;0.00;0.62
UNO_515122C0;2015/02/11 15:36:41;184;184;0.12;24.80;27.60;0.11;1.93;0;0.00;0.62
UNO_515122C0;2015/02/11 15:37:12;185;185;0.12;24.80;27.60;0.11;1.18;0;0.00;0.62
UNO_515122C0;2015/02/11 15:37:44;186;186;0.12;24.90;27.70;0.10;1.89;0;0.00;0.62
UNO_515122C0;2015/02/11 15:38:16;187;187;0.12;24.80;27.60;0.11;1.17;30818;0.10;51.99
UNO_515122C0;2015/02/11 15:38:47;188;188;0.12;24.80;27.70;0.10;1.17;0;0.00;0.62
UNO_515122C0;2015/02/11 15:39:19;189;189;0.12;24.80;27.70;0.11;1.91;0;0.00;0.62
UNO_515122C0;2015/02/11 15:39:50;190;190;0.12;24.80;27.70;0.10;1.23;0;0.00;0.62
UNO_515122C0;2015/02/11 15:40:22;191;191;0.12;24.80;27.70;0.12;1.93;49956;0.16;83.89
UNO_515122C0;2015/02/11 15:40:54;192;192;0.12;24.80;27.70;0.11;1.72;0;0.00;0.62
UNO_515122C0;2015/02/11 15:41:24;193;193;0.12;24.80;27.80;0.11;1.20;86528;0.29;149.45
UNO_515122C0;2015/02/11 15:41:56;194;194;0.12;24.70;27.80;0.10;1.18;0;0.00;0.62
UNO_515122C0;2015/02/11 15:42:28;195;195;0.12;24.70;27.90;0.12;1.17;0;0.00;0.62
UNO_515122C0;2015/02/11 15:42:58;196;196;0.12;24.70;27.90;0.10;1.53;28899;0.10;50.67
UNO_515122C0;2015/02/11 15:43:30;197;197;0.12;24.70;27.90;0.12;1.24;0;0.00;0.62
UNO_515122C0;2015/02/11 15:44:01;198;198;0.12;24.70;27.90;0.10;1.62;0;0.00;0.62
UNO_515122C0;2015/02/11 15:44:33;199;199;0.12;24.70;27.90;0.12;1.25;0;0.00;0.62
UNO_515122C0;2015/02/11 15:45:04;200;200;0.12;24.70;27.90;0.10;1.17;0;0.00;0.62
UNO_515122C0;2015/02/11 15:45:36;201;201;0.12;24.70;27.90;0.12;1.34;0;0.00;0.62
UNO_515122C0;2015/02/11 15:46:08;202;202;0.12;24.70;28.00;0.10;1.55;0;0.00;0.62
UNO_515122C0;2015/02/11 15:46:39;203;203;0.12;24.60;27.90;0.11;1.33;0;0.00;0.62
UNO_515122C0;2015/02/11 15:47:11;204;204;0.12;24.60;28.00;0.11;1.17;0;0.00;0.62
UNO_515122C0;2015/02/11 15:47:41;205;205;0.12;24.60;28.00;0.11;1.27;51370;0.17;89.48
UNO_515122C0;2015/02/11 15:48:13;206;206;0.12;24.60;28.10;0.11;1.93;0;0.00;0.62
UNO_515122C0;2015/02/11 15:48:45;207;207;0.12;24.60;28.10;0.12;1.93;0;0.00;0.62
UNO_515122C0;2015/02/11 15:49:16;208;208;0.12;24.50;28.20;0.11;1.91;0;0.00;0.62
UNO_515122C0;2015/02/11 15:49:48;209;209;0.12;24.50;28.20;0.11;1.80;0;0.00;0.62
UNO_515122C0;2015/02/11 15:50:19;210;210;0.12;24.50;28.20;0.12;1.17;58243;0.19;99.87
UNO_515122C0;2015/02/11 15:50:50;211;211;0.12;24.50;28.20;0.11;1.92;0;0.00;0.62
UNO_515122C0;2015/02/11 15:51:22;212;212;0.12;24.50;28.20;0.12;1.87;4966;0.02;9.05
UNO_515122C0;2015/02/11 15:51:53;213;213;0.12;24.40;28.10;0.11;1.93;0;0.00;0.62
UNO_515122C0;2015/02/11 15:52:25;214;214;0.12;24.40;28.20;0.12;1.23;0;0.00;0.62
UNO_515122C0;2015/02/11 15:52:56;215;215;0.12;24.40;28.30;0.11;1.52;0;0.00;0.62
UNO_515122C0;2015/02/11 15:53:28;216;216;0.12;24.30;28.30;0.11;1.70;0;0.00;0.62
UNO_515122C0;2015/02/11 15:54:00;217;217;0.12;24.30;28.40;0.11;1.19;0;0.00;0.62
UNO_515122C0;2015/02/11 15:54:31;218;218;0.12;24.30;28.40;0.11;1.75;0;0.00;0.62
UNO_515122C0;2015/02/11 15:55:03;219;219;0.12;24.30;28.40;0.11;1.81;0;0.00;0.62
UNO_515122C0;2015/02/11 15:55:34;220;220;0.12;24.30;28.40;0.11;1.56;0;0.00;0.62
UNO_515122C0;2015/02/11 15:56:05;221;221;0.12;24.20;28.40;0.12;1.90;13783;0.05;24.47
UNO_515122C0;2015/02/11 15:56:37;222;222;0.12;24.20;28.40;0.12;1.18;0;0.00;0.62
UNO_515122C0;2015/02/11 15:57:08;223;223;0.12;24.20;28.40;0.11;1.65;0;0.00;0.62
UNO_515122C0;2015/02/11 15:57:40;224;224;0.12;24.20;28.50;0.11;1.82;0;0.00;0.62
UNO_515122C0;2015/02/11 15:58:11;225;225;0.12;24.20;28.50;0.11;1.28;0;0.00;0.62
UNO_515122C0;2015/02/11 15:58:42;226;226;0.12;24.20;28.50;0.11;1.90;23711;0.08;41.46
UNO_515122C0;2015/02/11 15:59:14;227;227;0.12;24.20;28.50;0.12;1.83;0;0.00;0.62
UNO_515122C0;2015/02/11 15:59:45;228;228;0.13;24.20;28.50;0.12;1.92;0;0.00;0.62
UNO_515122C0;2015/02/11 16:00:17;229;229;0.13;24.20;28.50;0.12;1.80;178905;0.58;302.30
UNO_515122C0;2015/02/11 16:00:48;230;230;0.13;24.20;28.50;0.12;1.92;0;0.00;0.62
UNO_515122C0;2015/02/11 16:01:20;231;231;0.13;24.20;28.50;0.13;1.64;92884;0.30;155.32
UNO_515122C0;2015/02/11 16:01:51;232;232;0.13;24.20;28.50;0.13;1.16;0;0.00;0.62
UNO_515122C0;2015/02/11 16:02:23;233;233;0.13;24.20;28.60;0.12;1.31;0;0.00;0.62
UNO_515122C0;2015/02/11 16:02:54;234;234;0.14;24.20;28.50;0.12;1.16;30608;0.10;52.74
UNO_515122C0;2015/02/11 16:03:26;235;235;0.14;24.30;28.60;0.14;1.86;0;0.00;0.62
UNO_515122C0;2015/02/11 16:03:57;236;236;0.14;24.20;28.50;0.13;1.93;0;0.00;0.62
UNO_515122C0;2015/02/11 16:04:29;237;237;0.14;24.30;28.60;0.13;1.17;0;0.00;0.62
UNO_515122C0;2015/02/11 16:04:59;238;238;0.14;24.30;28.60;0.13;1.92;36056;0.12;62.92
UNO_515122C0;2015/02/11 16:05:31;239;239;0.14;24.30;28.60;0.13;1.21;0;0.00;0.62
UNO_515122C0;2015/02/11 16:06:03;240;240;0.14;24.30;28.60;0.13;1.93;0;0.00;0.62
UNO_515122C0;2015/02/11 16:06:34;241;241;0.14;24.30;28.60;0.14;1.91;70863;0.23;120.20
UNO_515122C0;2015/02/11 16:07:05;242;242;0.14;24.30;28.60;0.14;1.76;59953;0.20;102.29
UNO_515122C0;2015/02/11 16:07:37;243;243;0.14;24.30;28.50;0.14;1.68;0;0.00;0.62
